snr,ber,latency,throughput,packet_loss,rssi,jitter,frequency_band,date
38.2,0.0008,18,98.5,0.2,-61,2.5,5 GHz,2024-01-01
37.5,0.0010,20,96.0,0.3,-63,3.0,5 GHz,2024-01-02
36.8,0.0012,22,94.2,0.4,-64,3.2,5 GHz,2024-01-03
35.9,0.0015,25,91.8,0.5,-66,4.0,5 GHz,2024-01-04
35.1,0.0018,27,89.5,0.6,-67,4.5,5 GHz,2024-01-05
34.6,0.0020,30,87.0,0.8,-69,5.0,5 GHz,2024-01-06
33.8,0.0025,34,84.3,1.0,-71,5.8,5 GHz,2024-01-07
33.0,0.0030,38,81.0,1.2,-72,6.2,5 GHz,2024-01-08
32.2,0.0035,42,78.5,1.5,-74,7.0,5 GHz,2024-01-09
31.5,0.0040,46,75.8,1.8,-75,7.5,5 GHz,2024-01-10
30.7,0.0048,51,72.0,2.0,-77,8.2,5 GHz,2024-01-11
29.9,0.0055,56,68.5,2.3,-79,9.0,5 GHz,2024-01-12
29.0,0.0065,62,64.8,2.7,-81,9.8,5 GHz,2024-01-13
28.1,0.0075,68,61.0,3.1,-83,10.5,5 GHz,2024-01-14
27.3,0.0088,75,57.5,3.5,-84,11.5,5 GHz,2024-01-15
26.4,0.0100,83,53.8,4.0,-86,12.5,5 GHz,2024-01-16
25.5,0.0115,91,50.0,4.5,-88,13.8,5 GHz,2024-01-17
24.6,0.0132,100,46.5,5.0,-89,15.0,5 GHz,2024-01-18
23.7,0.0150,110,42.8,5.6,-91,16.5,5 GHz,2024-01-19
22.8,0.0172,121,39.0,6.2,-92,18.0,5 GHz,2024-01-20
21.9,0.0198,133,35.5,6.9,-94,19.8,5 GHz,2024-01-21
21.0,0.0225,147,32.0,7.7,-95,21.5,5 GHz,2024-01-22
20.0,0.0258,162,28.5,8.5,-97,23.5,5 GHz,2024-01-23
19.1,0.0294,178,25.0,9.4,-98,25.8,5 GHz,2024-01-24
18.2,0.0335,196,21.8,10.4,-100,28.2,5 GHz,2024-01-25
17.2,0.0382,216,18.5,11.5,-102,31.0,5 GHz,2024-01-26
16.3,0.0435,238,15.5,12.7,-103,34.0,5 GHz,2024-01-27
15.3,0.0495,262,12.8,14.0,-105,37.5,5 GHz,2024-01-28
14.3,0.0562,289,10.2,15.5,-107,41.2,5 GHz,2024-01-29
13.2,0.0638,318,8.0,17.1,-108,45.5,5 GHz,2024-01-30
